Name,Description
nameless,these 2 supplies were supposed to go to a relative but they rejected last min as we currently have 4 dogs of our own it will be too much to have 2 addition pus help these 2 adorable
coffee,today coffee went to live in her new home thank you dear sonya 
melody,i first rescue the pregnant mother and give her a shelter to give birth to her letters there are 7 shillings in total all the letters stayed in my house and are very tame and mild tempered the mother is a very responsible one and all her letters are wellbehaved i sincerely hope that the adopted can really promise me to take great care of them
bam bam,for adoption or further inquiries please kindly contact through petfindermy through our facebook page through email logic information of the feeling name am am gender female breed domestic short hair date of birth with march adoption fee am 90 spayedneutered yes deformed 1 with july 2 with august 3 with september vaccination 1 with july 2 with august 3 with september fed on before rescued royal cabin follow by backwoods adult fed on after rescued aims kitten food previously backwoods adult feeling cavity currently monger can food fresh home cooked fish or chicken once a week festive day vitamin daily st month follow by once a week very dog daily st month follow by once a week evening primrose oil daily st month follow by once a week conditions for adoption adopted need to fill in a questionnaire from us feeling must be kept indoors only to be fed strictly on premiumsuper premium food only backwoods or etc strictly no lowest food whisky friskies test bands or etc as this category of food will cause their health to deteriorate in the long term causing them nothing but pain update vaccination to be done monthly annually to protect the feeling against diseases to be treated by a met whenever unwell injured to apply spoon meditation monthly to protect against ticksfleasear mitesstomach wormsheartworms updated picturesvideo on the feeling from time to time either via email whatsapp house visit adopted is also required to provide us your valid contact number alternate contact number and also house address etc if at any point of time you do not wish to continue to care for the feeling please return them to us and not abandon them on the streets or if you have found a new home for the feeling please let us know the details of the new home that you have found before you give the feeling over we will send the feeling over to adopted place after successful adoption agreed adopted will be given vaccination card medical records of the feeling from the day rescued purpose of adoption fee includes part of the cost for spayingneutering fee am 1 2 3 vaccination am each medical bills when we first rescued the feeling to allow us to continue our rescue efforts and to help cover the medical and food cost other remarks if you are interested in giving a home to these lovely lines kindly contact the above but before that please do consider the responsibilities of being an owner and decide only after serious consideration there is no point in wanting these cities out of impulse and then deciding to abandon or give them away later animals have feelings too and the right thing to do is to treat them as a part of the family and not just as a pet together we can make this world a better place for all living things and help save lives interested parties please sent a message via petfindermy facebook private message email and please share about yourself eg malaysianexpatriate your place eg if renting landlord allows pets if living with familyfriends do they agree to pets and your cat ownership experience any juveniletype email without providing the necessary details in tell us about yourself your place and cat ownership experience required will be not be replied please dont just provide a phone number because we wont calls and prefer to correspond by email first my apologies if the above questions seem to be intrusion or offensive in any way but we are looking for a truly loving and responsible adopted for the lines all this resulted from our experience in reaching and becoming cats please note that there is no right or wrong answers as we just wish to learn more about the lines potential adopted before making the decision thank you please dont let this put you off as we did not have any prior experience with cats either it is something that can be learnt gradually over time and it will evolve into a wonderful two way relationship the important thing is to look at them as a part of our loved ones and not just another animal where there is love relationship and trust will grow please help us to continue helping other abandoned and stray animals
mochi,found this poor dog in front of a restaurant please contact me if this is your dog or you know the dog ownerthanks update 92 good boy much surgery has done to remove his facial growththe sample is then sent to a laboratory to check whether its benign or malignantvet estimate he need at least 2 weeks time to recover if nothing went wrong will stay in met until stitches removed beside the growth poor much also diagnosed with heartwormsthe treatment will start after his fully recover from the surgery i am now looking for a foster home for baby much after thathis up for adoption please contact me if you know someone can help temporary foster or adopt him area thank you mochiheartworm disease mochimochi
momma kins kittens,about the pet the mamma cat came to me pregnant and had her kitten in my home there approve 3 months old now have been vaccinated the last vaccination pending and will be spayedneuteredall expenses paid for just need a good loving home for them to go to very loving very humanfriendly and extremely adorable 4 male kitten julie grayfoot whiteface and dot and 1 female called viewing before adoption is encouraged if interested pus call
puppies,i home a pregnant stray dog that gave birth to 7 supplies the supplies are almost two months old now
peeko boy,lovely puppy looking for a home sweet home if u are interested to adopt pus contact amy
felix,felix was found in iota damansara on aug 23 he had a maggot wound in his mouth and has been treated very active boy but knows basic commands to sit and shake hands we can find his owner and would like to become him no tying up or raging please call if interested
vovo huan huan,vo vo human human is a mix breed 8 months old male puppy and i found them dumped in a small cage near a wet market they are both a very gentle boy who does fine with both adults and children although they are very shy and will need some time and patience from their new family if you are interested and looking for a gentle puppy than look no further than novo human human the adoption fee of rm50 for both dogs includes entered and all vaccines only serious adopted will be considered
peanut,peanuts is a friendly cat i loved him very much but unfortunately i am not able to take care of him anymore i hope new owner will love him as much as he will love you in the future he will come with food and water dispense wait lumbo little box and food and sand
simba and sandy,greetings to all the dog lovers limb and sandy are sisters so they kind stick together all the time which is really really cut they were found and rescued by my family member and i when they were about 2 months old my parents always wanted me to put them up for adoption as i already own 3 dogs and i will be leaving to overseas to further my studies however i was worrying too much about helping them to search for the perfect owner and to be honest i was really reluctant to give them away until i found this webster below are the basic into about them name limb she was name after the lion called limb from the lion king due to her fur colour she has golden brown fur from head to toe a pair of sparkling golden brown eyes and a cut pink brown nose she is very active and friendly but a little shy when it comes to meeting strangers however i believed after a few days she will be just fine and friendly with the stranger she loves running around and caps when she is tired of running limb is more of a big sister to sandy as sandy always follow limb around whenever she goes besides that she is also very loving and i believed that she is not any less good than popular dog breeds like golden retrieved name sandy she is sister of limb and was named after the squirrel called sandy in spongebob as her personality is the completely opposite with the squirrel in spongebob so i thought it would be cut to name her sandy she has short shiny coated black fur from head to toe an innocent pair of black eyes and a black nose her personality is very similar to limb as she is very shy active loves running around loving and innocent both of them are the perfect family dogs and they can guard the house pretty well funfacts about them that make them adorable 1 they are afraid of fireworks 2 they are always wag their tails when you are home 3 they love being pet and never get sick of being complimented 4 just simply because they are super adorable and movable
candy,she very playful and smart
pluto,a mother dog delivered a litter of 6 pus outside a home the family is currently daring for the mother dog and her babies the supplies are now ready for become profile of each supplies are available here if you are interested please contact me supplies are located in kazan plato is the only white male puppy from this litter the rest of his brothers are brown in colour we see a strong sense of loyalty in him and decided to name him plato inspired by rickets dog pet little plato will love you as his best friend adoption requirement a adopted must be an animal lover and willing to spend time in preparing the puppy to settle n well b absolutely no long hour of raging or tied on leash c provide necessary medical attention d allow visitation for us to followed on taxi when required we hope you can give him a loving home if you are interested please leave your comments below and we will be in contact with you soon
bambi,this little fellow was found inside a box at the back of a pick up van he had a small wound at the back suspected bitten by other dog we let the met treated him and gave him a full body check the bite wound is full healed and his general health is perfect he has been detached deformed and vaccinated he is a super active little boy very alert and mischievous we are hoping to find him a good home no adoption fee is required just plenty of love and patience interested kindly contact sandy at via sums or phone calls email add
cie cie,lie lie mania teratoma began bu sentiasa it demand si bu peri tetani landau berdikari legal seperti lymph debut rapt don abangnya si bear jr lie lie jug that germain tetani jug that tide sell did akin tertidur tersengguksengguk
brownie,an obedient dog always hanging around an indian temple at bath ferringhi he is always being pulled by the senior dogs especially during meal time hoping someone is willing to give him a loving home so that he wont be pulled again interested and genuine adopted may contact me at ellen
bulat,but bursata 5 for beradik di tinggalkan anna bu sekarang but day that dan naval want neck but akin his been sample both keep sang paying that been dan sang paying last been but ni seeker sang began such perhatikan great peri kit supra but come kalaw day denying but take kirk papa sang berlaku di sekeliling did landau jug berdiri 2 kari harp but apart keluarga bare sang apart bag basis saying sepenuhnya seat but break but back dan take bank madam landau dan seeing di ajar
tree,tree is a friendly and playful female kitten that i found wandering near pp area shed had her first 2 vaccination and was deformed currently not stayed yet as she still too young for that hope to find a nice cat lover who would give her a good home those interested can call me or visit her at yeah veterinary clinic surgery son bed at maman began pp thanks
mickey,picked was born on the with of january with his 6 shillings picked is very playful and is very pampered he needs a loving home to paper n shower him with lots of love and care he is a black mixed with brown puppy he has a long spike on his back and a little white at his back legs
urgent adoption,i picked these lovely pus up because there starving in a playground abandoned by previous owner but sadly i can keep them for long because i personally owned dogs and is moving to apartment this th i wish someone kind hearted willing to take them in and love them forever as a family please call me in located at peri kembangan balakong selangor area very urgent ply spread the guns
adorable puppy with light brown patches,this 2 month old angel with light brown patches and spots was rescued by my family she is very sweet and friendly loves to muddle and play she can play fetch really well and is training to sit down if you would like to give her a forever home do call or drop a text 
dory,naval dan anti that main dan tide landau berdikari wall mash cecil due beradik began neo
miracle five,give a stray kitten a home and you just may be saving a life as much as i wanted to keep them there doing more good with someone who really needs the love and affection more than me in staying in a rental room and there not enough to keep them please help them by bringing them home with you contact no details 5 newly born kitten 2 gray 1 black 2 stripes eyes not opened yet mummy cat still feeding them adoption starting on 
river,friendly
lady amber,lady is good companion and super alert she follows the owner and has very good recall at the same time she is also a great watchdog house trained and an indoor dog gets along well with most other dogs she has art blood but is normal dog size vaccination and entering cost to be borne by adopted please help give her a good home she is believed to be an abandoned pet and currently under foster care knows basic commands wire haired due to her art cross blood
macy,i took care of her since she is 4 months because i saw her wondering around my house i fed her every day and she become attached with me my wife she is very friendly cheerful dog she is very alert if any stranger came in to our house we love her so much but we have no choice to put her up for adoption because we are moving out soon and the new place is not suitable for her to live in i hope a kind soul will adopt this cut dog and take a good care of her pus contact me if u are interested she will be a good guard dog
woofie,i found cut obedient wolfe wandering around in my housing area immediately i brought her back to my place and provide her with food water and clean shelter she is very healthy and playful especially with people and her dog friends hopefully she can find a home and receive the love she deserves her location is at trench peak but outstation adoption can be arranged if you think you could be the one please contact me via pm
django,django is very healthyplayful and so handsome am looking for true adopted who is love and daring the dogs can giving a full attention co give got the new job who is need to going to the outstation more often has been vaccinated x and deformed and also stayed 1 month ago anyone who interested please whatapps me at
ki ki,wiki is the most playful yet intelligent daring and thoughtful cat she loves climbing n resting on or chest if you are laying down on your back and you will never get tired hearing her lovelyyyy mews she just loves to talk and responds when pp calls her by the name she is in desperate lookout for a lovely family who will take care of her
no name,she born on 30 september i really hope the animal lovers can adopt her
urgent chyna needs a home,china is a healthy active and alert girl she was adopted from sca as a puppy but her owner is migration and needs to find her a home urgently china has a short tail likes to play walk run and very good with people friendly with kiss too she runs freely in the backward and lashed when go for walks knows english commands eg sit back hand etc no tying up or raging please please give this beautiful girl a loving home if interested please call david at
putihbooked,open 4 book akin siberia bill day bercerai such n landau makar sending adoption fee began bertujuan until oak juan cuba harp owner bare take mensiasiakan did gender past lgakan dimaklumkan kemudian harp add g said oak ja did sub da beak sat during at ma do 17909
boy,he is very active healthy dog dont have time to take care of him anymorewish to find a serious experience adopted to give him a new sweet home
gabby pumpkin fuzzbutt ,three little sweetheart born on a construction site urgently need a home they are adorable loving and movable its not safe for them there we will never the mothers but please help their babies remember a dog is for life no returns no excuses when things get a little difficult would you abandon your children please be the kind of person these dogs deserve
mixed breed puppies,22 feb 6 mixed breed supplies were born around new year by a stray dog outside my sisters house my his has temporarily taken the sum pus in so that they get good care nutrition whilst finding them permanent homes 1 puppy has been booked another 5 more available 2 brown females 3 black males healthy playful absolutely adorable will definitely make lovely pets please have a heart give them a good home currently 6 was old they will grow up to fairly large size no tying up or calling over a prolonged period to be entered or stayed when old enough please call my sister anna for further details
crusoe,cause is a lovely smart 8 month old puppy looking for a family to call her own she is a medium size dog very gentle and loves a muddle she is also toilet trained and is quick to learn commands cause has had all her vaccination a rabies shot is free from heartworm and has been desired we rescued two dogs and only have room for one cause will be your best friend
champion,champion is a stray and lone puppy that i rescued from klan he was with fractured back legs when i first saw him but please do not worry he has gone through needed surgery and he is recovering really fast champion is estimated about 4 months old not vaccineated yet as he just gone through operation and i am still waiting for dry advice on when to vaccine him champion is a very playful puppy and he is a total attention seekerprobably because he is still a bay at 4 months i will say he is a very intelligent puppy as he already start to understand sit after a few minutes of training he needs a lot of tender loving care from you if you think you are able to give him a happy and healthy life please contact me call me at blaine no please feel free to go to my facebook to have a closer look at champions story 
no name yet,puppy looking for new home
meme,meme is a very friendly and well behave cat meme use to stay with grand which is the mother of her owner and grand just passed away in march now her owner leave malasha back to australia meme need a new home note we looking for owner that willing to pay for metes saying fees will collect am after say only bring meme to new home as we experience many owners end up not bringing their cats to spayneuter so we prefer to do it by yourself 
gus,us is among three supplies found on a street in are damansara currently with a fostered but need an urgent home soon he is chubby and adorable vaccination and entering are compulsory cost to be borne by adopted please call if you can give him a good home
nil,found him wandering in sg bulohtemporarily fostering him obedient friendly can be left alone without any problems in a closed area
kris,update oris has been adopted on 01 march by baby thank you for giving oris a loving and for choosing to adopt oris together with her 2 other sisters were left in a box and dumped by the pavement she is a sweet little girl that deserves all our love she is playful happy and certainly a great companion to elderly and young kiss here is our adoption requirement a oris must be stayed when she reached her maturity b adopted must be an animal lover and preferably have experience in handling dog c no long hour of raging or tied on leash d provide necessary medical needs vaccination reforming fleatickheartworm prevention etc e walk her regularly with plenty of exercise f provide progress update and add us on facebook g this is a nontransferrable case if you wish to surrender oris please seek our permission as the dogs welling is our utmost priority if you are interested to enquire more on oris please contact me
no name,the cat came to my house last week out of nowhere and keep me all the night so i just take and clean up her the cat is very active and have a nice looking i dont exactly know how old is she so i want to give this cut cat to whoever want to take care of her
yoyo,very active dogs help him look for a better owner n able to give him better life
sudoku special case,we believe god has a plan for sudoku and somehow bring her into our lives sudoku was living in a shelter and we are not sure how she ended up there we ruled out she was surrendered life in shelter is not easy for little sudoku with her skin condition and being so tiny she was not able to fight enough for her food her story was highlight to us by a volunteer and we took her in her condition was bad enough that we couldn figure out her breed she is currently treated for her skin condition and this is a hormonal balance case she will need to undergo fix appointment with necessary meditation and jaw as prescribed by met we have many animals with us and realized sudoku will have a better chance of recovering if she is given full attention we are now looking for a loving home for little sudoku its our hope to find a owner who accept her with this condition and love her unconditionally so she can live life to the fullest please feel free to contact me if you need further details
looking for a home urgently,looking for a home urgently gender one male one female color brown as seen in pick health no external injuries or anything age about 2 months old adoption fee none fostered welcome too must agree to say the female puppy contact by email only for more into or inquires about adopting this puppy and more pick
amber c,amber is a gorgeous tricolor border collide cross with a personality to match she is happygolucky very well behaved and an excellent watchdog enjoys her daily walks and will add sunshine to your house she knows basic commands such as come sit and go inside to her cage no tying up or raging unless necessary for short periods for long hours her owner has to move to a conde and can take her along please give her a good home
sugar,female cat cuteactive and clever trained to use litter box done vaccinated and stayed
sasha,sasha was dumped in sir hartamas about 9 months ago and had been living rough until we took her in she has been stayed and is now in great health we have localised her with our 2 dogs and 3 cats as well as the neighbours children she is fully house trained and very clean she loves the car and travels well she has a lovely gentle nature and just wants to please and be loved we would keep her but practical with all the other pets in a small town house she will make a great family pet
hansel gretel,becoming case both handed greater was found in a bushes at their age of 1 month old they are adorable playful and best to adopt both together adopted need to be screen current adopted can take care until end of june terms condition apply
snoopy,i found snowy at the workshop in my area in slaying where there are many other dogs kept and not fed or given the water snowy is only a month old cut and healthy he should be given a chance to have a loving forever home
sneaky playful calmie adventura,their mother came to us few months ago she was already pregnant when she came here i suspect that she has been thrown out by a family as she is very friendly with people stray cats usually run at the sight of strangers she then gave birth to this 4 kitten 1 orange 1 light grey 1 whitishgrey 1 greyish black as i have already 16 stray cats now i hope some kind soul would adopt them i will subsidies for the saying when they are mature enough hope they could find a better home 
no name,i found these supplies near my housing area i already have three dogs in my house so in not afford to adopt them anymorethere are a lot of cars passed by everyday i afraid they might be fitted by car since they start active to run here and there in looking for dog lovers to adopt these supplies and give them a safe home
tammy,tommy is a very healthy active and playful dog loves going for walks and affectionate with people she is very alert makes a wonderful companion and a good watchdog our family loved her very much but our new born babies clergy to furry pets whereby we no longer can keep her with us please give her a loving home
mocha,much is a movable and friendly dog owner is terminal ill and unable to care for her
cindi,mind is a very friendly dog donna let her go because of me no longer can take care of her
kitty not named yet,you can contact me through whatsappline to know about the cat conditions for adopting 1 no first time adopted without experience friendly first time adopted with experience are welcome 2 keep in contactplease send me picture of her every now and then want to be assured that she fine and growing well 3 be absolutely sure that you will commit to her before adopting 4 i will try to converse with you a bit before giving her because i want to know the adopted background about the kitty this is a female kitten she was wandering outside at the opposite neighbors house and i accidentally called out to her and didn expect her to come in running just came in and made herself home she is a veryyyyy friendly kitten she is the first kitten i didn had to try to tame we found who the mother cat is the mon came in and checked on her for 3 days and bit farewell the mon trusts us compared to the other kitten we have had she is the most gentle one she plays but not naughty this little kitty is a bit greedy in eating but good thing is that she not violent she quite intelligent when it comes to food knows every sign food is coming doesn scratch or biter haven learned to yet only happens when we let gets friendly with the big cats very fast so if you have other cats wont be a problem id love to keep her but everyday before i go to bed i have to shut her outside the house she spends the whole day inside and at night i feel bad shutting her outside and seeing her desperately trying to come back inside not given other choice so that why she up for adoption in not allowed to keep her i dont want her to become a stray cat she sees and loops on grasssometimes she goes on her own and other times she scratches and jumps on our legs to ask us to bring her to the toilet grass when she wants to see her tail fur stands up and it looks like brush while mowing a lot aaaaand you gutta love that face of hers
shinney,a nearby resident saw her 3 months ago with a few newton supplies under a tree looking at her body condition which is healthy and well fed the met believed that she must have been a missing dog she take care of the supplies very well even though as a young mother we rescue her and put her in a boarding met clinic because the resident that she seek shelter in front of the house threaten to call dog catcher as he rates dogsshe is very tame and friendly but bark if strangers come near the house she should make a good companion to the owner no tying and raging for long hours except for precautionary purposes
jacko,this is domo jack my i found him lost without his mother i used to take care of this kitten about a week ago but then due to my sisters newton baby i have to give this baby to others who really really can give fully love for jack jack is black and white kitten with medium hair length got orange stain at his back left leg and he got fleas one week is not enough for recovering from fleas the new adopted must 1 give him fully love he at the playful age so he needed full attention from you 2 please no cage let him be free 3 get rid of the fleas 4 i dont mind what you feed him with but premium foods would be nice and milk 5 vaccine him as he used to be a stray cat contact me if your interested
rey rey,an active cat with curious mind loving and likes to muddle do not subject to any violence as the cat will act violent in return
moniq,money is a very obedient dog even at this young age she is active and playful but listens to commands to sit and dont run out of the gate gets along well with other dogs and affectionate with people please give her a good home
firsky,really friendly and cheeks and playful likes to play clot and muddle
kiki,this beautiful dog was found in the last week of june in are damansara she is very friendly both with humans and dogs and definitely was somebody pet unfortunately we can find her owner hence she is up for adoption estimated to be under a year old good built about 20 was she is alert and obedient good at walking with leash and toilet trained on grass smart knows simple command like sit and come loves to play fetch good with kiss she will bring joy to any household vaccination and entering are compulsory cost to be borne by adopted no tying up or raging unless short periods if necessary please call if interested
belle belle,this cut ll puppy is up for adoption i saw her at the met thought that she looks like bolt trust me she really looks like smallereyesversion bolt this louse pick of her doesn justify how cut she is my friend had adopted her for nearly 2 months he gave up on her due to her extremely submissive nature she does well with other dogs but not so much with human this is because she used to be a strayed puppy before someone picked her up sent her to the met my friend is not a patient owner he doesn like the fact that she runs away everytime we go near her she loves eating will only come to you when you have food although she is a very submissive dog she still greeted us when we came back from work at the moment she is a dogs dog not so much of peoples dog she doesn bark much unless she is playing with other dogs she gets along very well with one of my mongrel dog so i assume that she has no problem getting along with other dogs please bear in mind that she is not a peoples dog as she was a strayed dog previously i m looking for a very patient loving owner who is willing to spend time with her take care of her so that she is not reluctant of interesting with human being pus do not give up on her due to her submissive nature i believe that she will eventually gain more confidence be a really good companion
azza,very healthy active and playful she loves people reason for setting for adoption is going back to my country after i finished study in malasha
no name,the puppy was found loitering the streets alone unattended we fed the puppy for a while and provided a temporary shelter
kakak,makar gelatin say bag seat did paying protect did did saying at did did makar dibuang bursata don 2 last did matas alaskan neck hobby take such law mat lunch anti dan grand kalaw add sang cuba karay did adiknya tap bill apart mainhmmlupa dirt day seronok did la sang leash leash kazan tu day madam perangai during japan day paying echo kalaw kent during want madam such tudor je several makar ok je dirumah say sekarang seminggu seal say akin belaya anal anal blue makar wetfood back data japan wet wet hair lain nibbled sahaja must makar come ditambah last perangai did laid later come baden did put sedan sedan je take femur sat dan take pull burns sang papa sang berhasrat until amid makar say harp apart age makar began back pesanan say agar makar di kembirikan bill cutup mass anti japan dibiarkan did melahirkan unwanted kitten sang seterusnya menambahkan last bilangan stray sang add merely ni day cutup merit hip di dynia liar sebagai gelandangan sebarang pertanyaan mengenai makar bone hubungi say melalui smscallwhatsapp sahaja
maple and spiderdog,supplies rescued 1 male and 1 female
gucci,lovely up looking for home sweet home commitment to say is compulsory if u are interested to adopt pus contact amy
bubu,adorable playful loves muddling had a really cut face 
jill girl,will is a clever maggie toilet trained during walks and on grass she is best as an indoor dog as she loves to be around people she knows how to sit and give paw great family dog and also an alert watchdog good temperament great companion dog good with kiss and with other dogs please call if you can give her a good home
boo,my dog name called too he is a male i feeding him around 45 years
mylo,this puppy named him malo was found in my church compound brought it to the met to check and reform malo is healthy and is said to be 1 months old malo have some nice pattern on its back i have zero experience with dogs furthermore my wife has clergy so no fur pets possible kindly contact me wing 
ang ang,it is my home away dogs born dog mother to take care of them well puppy looks very healthy and cut i hope that you will give them a home
m,this puppy is burned by my house pet there are total 3 of them 1 male 2 female this is one of the female she is now awaiting for someone who can shower her with love to adopt her and i hope she can live happily forever with her new owner later
myas babies,cut still young very adorable too
hairball,since we are not able to get him back to his owner hairball is now open for adoption anyone who wish to give hairball a home and love please email to com or sums to we are able to read chinese message tell us you name place and whether u agree the terms and condition which listed below terms and condition the person who want to adopt the dog 1 have to stay in pet allowed property 2 apply license for the dog and renew the license annually 3 have to bring the dog for vaccination 4 have to do heartworm prevention and reforming 5 have to never the dog a people was found roaming at hotel area at peri kembangan he is very dependent on people and friendly we believe that he was lost from a good family not long time ago since his fur teeth and ear are clean we wish to send him back to the family contact
yily,give rescued this little cut kitten on the she very adorable and playful please give a forever home 
kitten rr2,rescued by ms rose male2mths done st vaccinated and deformed open for malasha citizen only kindly whatsapp or sums to me at if u are interested to adopt
catty,this is fatty she is pretty rare in malasha sometimes she might be grumpy
lil kitten,a friends friend found this adorable 23 weeks kitten underneath his car yesterday kitten has been taken to the met and is currently on antibitocs and has been deformed if anyone is interested to adopt please call man at or contact me at they are running out of places to keep the kitty so if they dont find a place soon they might have to give it up to sca or paws they called them and it doesn sound like they will put up with the kitty for long and may put the little thing to sleep please help this ll kitten find a new loving home thank you
bobby,rescued kitten need loving owner please contact me for booking to
nile,nile is playful independent
goldenball,she born on 12 april i really hope the animal lovers can adopt her
larry,cut and adorable puppy suitable for landed property with compound to move about too big to keep in condominium or apartment no tying or raging for long hours just as guard dog however tying or raging for precautionary purposes is allowance interested to adopt pus call me
dewey,we rescued dewey and may from us due to inhumane treatment they were kept in a small cage by the owners and confined 24 hours he extremely loving and vocal responds to you by his name very smart and listens to humans we prefer him to be adopted without any pets in the adopted house needs on dry nibbled easy maintenance is no cage confinement please except in incidence of illness or injuries
cherry,we are looking for serious and responsible adopted to give this sweet puppy a great home
congo,dark and exotic strong and good watchdog no tying or raging for long hours except for precautionary purposes commitment to never him is compulsory serious adopted pus call 
mimi mouselovelymanja black calico,mimi mouse is a black calico kitten black calico kitten are typically more huggable mania than others major treatment for mange done blood test nice figure silk medium long fur indicate healthy body further read at shelter anyone wants to contribute to her medicalhospitalisationboardingshelter costs will be receive free gift whatsapp now 4 months of age
titan,who are interested to adopt please contact me via whatsapp for further detail
no name,he likes to sleep during the day and love attention at night time i guess all older cats the same the older you get the less active you are we love him so much but unfortunately we are moving and have to let him go we are hoping to find a loving family who loves cats very much preferably somebody lives in a house please no apartment sorry please note that the pictures here are just any random russian blue pick to show that there are different look of russian blue some claim that pure breed russian blue has only green eyes but some also claim that there are some have yellow eyes but just not as popular as the green eyes our cat has yellow eyes manekineko was right russian blue is very rare in malasha different people have different view about russian blue we appreciate all the input anybody interested please make an appointment to come to see our cat
choco,i found 3 supplies on the road and mummy dog was not around i could not leave them in the rain please help them to be one of your family i already have 2 dogs and difficult to keep them they are so cut and healthy he is the one of them
no name yet,found alone in the car parktemporary in my house and looking for adoption
aveda bow,lovely puppy looking for home commitment to say is compulsory interested to adopt pus contact rachel
missy bobtailed kitten,if you love bobtailed cities then how about bringing home missy she was found in a conde parking healthy active and playful missy has round eyes beautiful tricolored coat and of course a very cut face missy is sweet and coldly playful yet double and comfortable with humans she would make a good companion please contact me if you sincerely wish to adopt missy
soloblack labradorbrindle mix,solo will grow into a beautiful dog given good care the colour of bridle is unique not many dogs have this colours is bountiful and playful if you can care for it till death do you part then please whatsapp or call jocelyn at need to commit to entering by paying a dismounted entering fee of am to my regular met upon adopting up receipt will be issued for reference
bob marley,we took in barley from a sick gentleman who was unable to care for this puppy initially we had someone who adopted her but soon discovered that the owner is not a suitable candidate to have her as guardians to this puppy my husband and i felt that barley needs a better environment and family we have a 4yearold golden retrieved of our own that we rescued 2 years ago we follow and practice the technique of caesar millar and we are looking for suitable owners who are familiar with dogs to adopt barley bob barley is a 6 months old puppy very playful intelligent alert and is a good watch dog she likes to joy along with the handle after awhile of getting to know you you can walk or joy with her without a leash as an advice do bring along a leash anyhow golden retrieved supplies are hyper but will mellow down as it gets older from age 1 to 2 onward still all dogs have their unique personality which you will come to know in time this breed needs a cool environment due to its coat they do well with owners who have big compound and lots of shades for owners who prefer their dogs living indoor with them this breed is also suitable for it provided she can go out 2 to 3 times a day to do her business on grassy land if you are ensure of this breed do goose and study about this breed we love this dog and we sincerely hope to find the best owner for her grooving is moderate
kd super parents urgent adoption,3 adult orgies 7 supplies are currently seeking shelter at the car park of an office building in damansara area way too many complaints on their presence were lodged to the management office and the management office has instructed the security guard to call pp and this is like more than a week ago the security guard will have to act upon the instruction given to him in the next 2 days so in the meantime we would really appreciate assistance in any form in finding them temporary homefosterers or if you know of any factory or farms who have space for them if they are not out within the next 2 days they would end up being the tigers deserts is the adult orgies are tame easy to approach so not much headache there 2 black supplies one male one female 5 brown supplies 4 male 1 female 2 female adult orgies 1 male adult orgies terms and conditions for adoption are 1 must be stayed entered at 7 months this is very important as we dont want more supplies as there already the problem of over population 2 must not be caged or chained for long periods of time 3 must be provided with sufficient shelter from sun and rain 4 must be played withwalked everyday if you cannot fulfill the above conditions then you are not a suitable adopted if you do then please do give us a call only serious adopted will be entertained please help to share 
meow,they were found in a rain in front of my house total of 7 cats in the house all are in one big family i have a cat mother gave birth two times in my house they are all black and white colour all these while been giving good quality food and going to vaccine them
emo,em ship tu 3 years old male for adoption
bosco,moscow was rescued from klan pound back in may with a huge hairless patch on his right thigh its was final infection he was easily treated with a final bath rather than with meditation which affects the liver he was in bad shape after all now he is in full alert the final infection has blackened which means healed and fur is growing back now he is a lovely chap afterallhe was someone pet he will makes a good companion as well as an alarming too call find out more thankyou and i will love you back
baby belang,i am looking a forever home for her
luna,a mother dog delivered a litter of 6 pus outside a home the family is currently daring for the mother dog and her babies the supplies are now ready for become profile of each supplies are available here if you are interested please contact me supplies are located in kazan adoption requirement a adopted must be an animal lover and willing to spend time in preparing the puppy to settle n well b absolutely no long hour of raging or tied on leash c provide necessary medical attention d allow visitation for us to followed on lung when required
long fur cats for free,its a long fur cats i recur them give me a call or whatapps
boiboi,borzoi is rescued by my daughter 2 years ago from outside her suction place he was sick and abandoned alone without the mother now he is very healthy playful and gentle he is not only playful but also toilet trained and well behave i hope he can have new family with full of love and daring
no names yet,super adorable super mania super playful 4 kitten born into our homes about 2 months ago and now they are ready for adoption as i already have 3 adult cats at home asserted colours we would appreciate self pick if interested please contact us arms lee
wei wei,very well taken care dog
julia,7 month old female up abused rescued rehabilitated and now ready for a new home loving affectionate and makes a good good dog please share and help her find her home as soon as possible bless you 
elroy,hi my name is early well at least that the name my rescue gave me i am very handsome with a very long tail i am charming very affectionate and i love children a funny thing happened one day i went to my home but none was there i saw a big truck and people putting things into it even my favourite couch i did not know what was happening everyday i went home and none was there and boy was i getting hungry i have been fed by my people since i was a baby kitten i haven learnt to find food for my self and all the neighbourhood toes kept picking on me in a lover not a fighter then i started getting itchy very itchy think i had a skin disease and it was getting very sore and had lost so much weight thankful one of my friends china took me to her home and her sum gave me some food oh it was so good she took me to the met too i had a jaw and the sore itchiness is getting better china sum starting calling me early its a good name for me i understand it is hard for china sum to keep me and she is trying to find a new home for me and i am grateful the other day china sum took me back to the met and i had a long sleep when i woke up i was a bit tender in my private area i think the met took my things off but i dont mind id much rather stay at home with my new family than roam the streets and get beaten up all the time so if you want me to love you all you have to do is call china sum and please hurry i want to love you very much very soon
